title,pdf_link
RFA Argus and RFA Diligence out of service dates and planned replacements for both vessels,https://assets.publishing.service.gov.uk/media/5a7f1cce40f0b6230268d829/2015-10463_FOI_Request.pdf
"Inquiry by the Royal Military Police to identify army officer who stated a future Labour government would face ""a mutiny"" as quoted in a number of newspapers",https://assets.publishing.service.gov.uk/media/5a818708ed915d74e33feb1b/20151209-FOI10282_76071.pdf
"Number of service personnel discharged for being overweight from the British Army 2013 to 2014, Royal Navy and Royal Air Force 2002 to 2014",https://assets.publishing.service.gov.uk/media/5a7f277440f0b62305b8568a/FOI2015_10043.pdf
Number of casualties (killed and wounded) as a result of FLOSY kinetic action 1964 to 1968,https://assets.publishing.service.gov.uk/media/5a80bf0fed915d74e33fc2cc/PUBLIC_1449756657.pdf
Number of DNA samples the MOD Police have taken from children aged 0 to 15 from January 2010 to 21 November 2015,https://assets.publishing.service.gov.uk/media/5a7590b8e5274a545822c817/20151209-REDACTED_Reply_eCase_10417-15-DNA.pdf
List of countries and number of airstrikes conducted in each by the UK. Number of enemy combatants and civilians/non-combatants killed during the airstrikes,https://assets.publishing.service.gov.uk/media/5a7f8a61e5274a2e87db676e/20151123_FOI2015-09396_airstrikes_via_drones.pdf
Copy of 'Climatic illness and injury awareness and prevention' safety advice,https://assets.publishing.service.gov.uk/media/5a748a31e5274a7f9c586ce4/20151110-FOI2015-09667.pdf
Attachment: Urgent safety advice: climatic illness and injury awareness and prevention,https://assets.publishing.service.gov.uk/media/5a801cf4e5274a2e8ab4e422/20151109-Urgent_Safety_Advice_doc.pdf
Total number of unarmed and armed Reaper missions in Iraq and Syria,https://assets.publishing.service.gov.uk/media/5a80a216ed915d74e622f942/20151120-FOI2015_09328_Reaper_missions_Iraq_Syria.pdf
Sleepwalking and other sleep related disorders that disqualify entry to the Royal Navy,https://assets.publishing.service.gov.uk/media/5a807406ed915d74e622e89f/2015-09223-Redacted.pdf
Hiring of venues for MOD staff for recreational purposes 2013 to 2015,https://assets.publishing.service.gov.uk/media/5a7f5e5940f0b6230268f13b/FOI2015_09699.pdf
List of private road transport companies that supply MOD with abnormal load transportation in England January 2012 to November 2015,https://assets.publishing.service.gov.uk/media/5a74fcfc40f0b6399b2afc66/FOI2015-10117.pdf
Copy of the defence deer management procedures,https://assets.publishing.service.gov.uk/media/5a7f9c0ce5274a2e8ab4d377/20151002-FOI08066.pdf
Attachment: Defence deer management procedures,https://assets.publishing.service.gov.uk/media/5a7f691b40f0b62305b86fb7/20151002-FOI08066-AnnexA.pdf
Attachment: Defence deer management procedures amendments ,https://assets.publishing.service.gov.uk/media/5a755cc8e5274a3cb2869d4d/20151002-FOI08066-AnnexB.pdf
Number of army personnel living in SSA/SFA and have moved house in 2014 and 2015 to another SSA/SFA,https://assets.publishing.service.gov.uk/media/5a805e83ed915d74e622e0df/20151027-FOI08428.pdf
Number and type of accommodation at Waterbeach Barracks and availability to rent or buy,https://assets.publishing.service.gov.uk/media/5a81ae94e5274a2e87dbef0e/20151104-FOI08732.pdf
List of MOD properties currently empty in Greater London,https://assets.publishing.service.gov.uk/media/5a74eb36ed915d3c7d528f8a/20151118-FOI09232.pdf
Attachment: Borough and type of MOD properties currently empty in Greater London,https://assets.publishing.service.gov.uk/media/5a80d209e5274a2e8ab5259f/20151118-FOI09232-Annex.pdf
"Granted office space for James Lockyer Associates (JLA) at RAF St Mawgan, Cornwall",https://assets.publishing.service.gov.uk/media/5a7f3b4fe5274a2e87db499b/20151119-FOI09315.pdf
"Copy of the ADATS level 2 assessment of radar visibility and copy of the RAF air command operational assessment for Cloich Forest, Hag Law and Kilrubie wind farm proposals",https://assets.publishing.service.gov.uk/media/5a81aff240f0b62305b904c1/20151119-FOI09416.pdf
Attachment: Cloich Forest wind farm development proposal,https://assets.publishing.service.gov.uk/media/5a8190d2ed915d74e6232f46/20151119-FOI09416_Cloich_Forest.pdf
Attachment: South east of Halmyre Mains farmhouse wind farm development proposal,https://assets.publishing.service.gov.uk/media/5a803ed1ed915d74e622d523/20151119-FOI09416_Halmyre_Mains_Farmhouse.pdf
Attachment: Kilrubie wind farm proposals,https://assets.publishing.service.gov.uk/media/5a80a598ed915d74e622fa68/20151119-FOI09416_Kilrubie.pdf
Companies that responded to an invitation to tender for the RAF Northolt premier passenger service tender issued 31 March 2015,https://assets.publishing.service.gov.uk/media/5a8067eee5274a2e8ab4ff56/20151123-FOI09354.pdf
"Project directory for all companies, suppliers and sub-contractors involved in the Beacon Barracks, Beaconside, Stafford project",https://assets.publishing.service.gov.uk/media/5a81762140f0b623026976f2/20151119-FOI09418.pdf
"Attachment: List of sub-contractors, sub-consultants and suppliers for the redevelopment of Beacon Barracks, Stafford contract",https://assets.publishing.service.gov.uk/media/5a8059b740f0b62302692fb9/20151119-FOI09418-Annex.pdf
